gamma,lr,hidden_sizes,batch_size,memory_size,seed,eps_decay,steps_to_goal
0.9,1e-05,64-32,32,200000,0,1400,200
0.9,1e-05,64-32,32,200000,0,1500,200
0.9,1e-05,64-32,64,100000,0,800,200
0.9,1e-05,64-32,64,100000,0,900,200
0.9,1e-05,64-32,64,100000,0,1000,200
0.9,1e-05,64-32,64,100000,0,1100,200
0.9,1e-05,64-32,64,100000,0,1200,200
0.9,1e-05,64-32,64,100000,0,1300,200
0.9,1e-05,64-32,64,100000,0,1400,200
0.9,1e-05,64-32,64,100000,0,1500,200
0.9,1e-05,64-32,64,200000,0,800,200
0.9,1e-05,64-32,64,200000,0,900,200
0.9,1e-05,64-32,64,200000,0,1000,200
0.9,1e-05,64-32,64,200000,0,1100,200
0.9,1e-05,64-32,64,200000,0,1200,200
0.9,1e-05,64-32,64,200000,0,1300,200
0.9,1e-05,64-32,64,200000,0,1400,200
0.9,1e-05,64-32,64,200000,0,1500,200
0.9,1e-05,64-32,128,100000,0,800,200
0.9,1e-05,64-32,128,100000,0,900,200
0.9,1e-05,64-32,128,100000,0,1000,200
0.9,1e-05,64-32,128,100000,0,1100,200
0.9,1e-05,64-32,128,100000,0,1200,200
0.9,1e-05,64-32,128,100000,0,1300,200
0.9,1e-05,64-32,128,100000,0,1400,200
0.9,1e-05,64-32,128,100000,0,1500,200
0.9,1e-05,64-32,128,200000,0,800,200
0.9,1e-05,64-32,128,200000,0,900,200
0.9,1e-05,64-32,128,200000,0,1000,200
0.9,1e-05,64-32,128,200000,0,1100,200
0.9,1e-05,64-32,128,200000,0,1200,200
0.9,1e-05,64-32,128,200000,0,1300,200
0.9,1e-05,64-32,128,200000,0,1400,200
0.9,1e-05,64-32,128,200000,0,1500,200
0.9,1e-05,64-64,32,100000,0,800,200
0.9,1e-05,64-64,32,100000,0,900,196
0.9,1e-05,64-64,32,100000,0,1000,200
0.9,1e-05,64-64,32,100000,0,1100,200
0.9,1e-05,64-64,32,100000,0,1200,111
0.9,1e-05,64-64,32,100000,0,1300,200
0.9,1e-05,64-64,32,100000,0,1400,198
0.9,1e-05,64-64,32,100000,0,1500,192
0.9,1e-05,64-64,32,200000,0,800,189
0.9,1e-05,64-64,32,200000,0,900,200
0.9,1e-05,64-64,32,200000,0,1000,200
0.9,1e-05,64-64,32,200000,0,1100,177
0.9,1e-05,64-64,32,200000,0,1200,200
0.9,1e-05,64-64,32,200000,0,1300,193
0.9,1e-05,64-64,32,200000,0,1400,190
0.9,1e-05,64-64,32,200000,0,1500,200
0.9,1e-05,64-64,64,100000,0,800,200
0.9,1e-05,64-64,64,100000,0,900,200
0.9,1e-05,64-64,64,100000,0,1000,200
0.9,1e-05,64-64,64,100000,0,1100,200
0.9,1e-05,64-64,64,100000,0,1200,200
0.9,1e-05,64-64,64,100000,0,1300,200
0.9,1e-05,64-64,64,100000,0,1400,200
0.9,1e-05,64-64,64,100000,0,1500,200
0.9,1e-05,64-64,64,200000,0,800,147
0.9,1e-05,64-64,64,200000,0,900,200
0.9,1e-05,64-64,64,200000,0,1000,152
0.9,1e-05,64-64,64,200000,0,1100,200
0.9,1e-05,64-64,64,200000,0,1200,190
0.9,1e-05,64-64,64,200000,0,1300,200
0.9,1e-05,64-64,64,200000,0,1400,189
0.9,1e-05,64-64,64,200000,0,1500,200
0.9,1e-05,64-64,128,100000,0,800,200
0.9,1e-05,64-64,128,100000,0,900,195
0.9,1e-05,64-64,128,100000,0,1000,200
0.9,1e-05,64-64,128,100000,0,1100,200
0.9,1e-05,64-64,128,100000,0,1200,200
0.9,1e-05,64-64,128,100000,0,1300,200
0.9,1e-05,64-64,128,100000,0,1400,200
0.9,1e-05,64-64,128,100000,0,1500,200
0.9,1e-05,64-64,128,200000,0,800,200
0.9,1e-05,64-64,128,200000,0,900,200
0.9,1e-05,64-64,128,200000,0,1000,165
0.9,1e-05,64-64,128,200000,0,1100,200
0.9,1e-05,64-64,128,200000,0,1200,200
0.9,1e-05,64-64,128,200000,0,1300,200
0.9,1e-05,64-64,128,200000,0,1400,200
0.9,1e-05,64-64,128,200000,0,1500,200
0.9,1e-05,128-64,32,100000,0,800,200
0.9,1e-05,128-64,32,100000,0,900,200
0.9,1e-05,128-64,32,100000,0,1000,200
0.9,1e-05,128-64,32,100000,0,1100,200
0.9,1e-05,128-64,32,100000,0,1200,200
0.9,1e-05,128-64,32,100000,0,1300,200
0.9,1e-05,128-64,32,100000,0,1400,200
0.9,1e-05,128-64,32,100000,0,1500,200
0.9,1e-05,128-64,32,200000,0,800,200
0.9,1e-05,128-64,32,200000,0,900,200
0.9,1e-05,128-64,32,200000,0,1000,200
0.9,1e-05,128-64,32,200000,0,1100,200
0.9,1e-05,128-64,32,200000,0,1200,200
0.9,1e-05,128-64,32,200000,0,1300,200
0.9,1e-05,128-64,32,200000,0,1400,200
0.9,1e-05,128-64,32,200000,0,1500,200
0.9,1e-05,128-64,64,100000,0,800,200
0.9,1e-05,128-64,64,100000,0,900,200
0.9,1e-05,128-64,64,100000,0,1000,200
0.9,1e-05,128-64,64,100000,0,1100,200
0.9,1e-05,128-64,64,100000,0,1200,200
0.9,1e-05,128-64,64,100000,0,1300,200
0.9,1e-05,128-64,64,100000,0,1400,200
0.9,1e-05,128-64,64,100000,0,1500,200
0.9,1e-05,128-64,64,200000,0,800,200
0.9,1e-05,128-64,64,200000,0,900,200
0.9,1e-05,128-64,64,200000,0,1000,200
0.9,1e-05,128-64,64,200000,0,1100,200
0.9,1e-05,128-64,64,200000,0,1200,200
0.9,1e-05,128-64,64,200000,0,1300,200
0.9,1e-05,128-64,64,200000,0,1400,200
0.9,1e-05,128-64,64,200000,0,1500,200
0.9,1e-05,128-64,128,100000,0,800,200
0.9,1e-05,128-64,128,100000,0,900,200
0.9,1e-05,128-64,128,100000,0,1000,200
0.9,1e-05,128-64,128,100000,0,1100,200
